parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
0,3,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,3,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
