項目名,説明,値
MV画像パス,メインビジュアルの背景画像,./images/mv.webp
MVアピールテキスト1,メインビジュアルの左側テキスト,コスパ×通いやすさで選ぶ
MVアピールテキスト2,メインビジュアルの右側テキスト,
MVSVGテキスト1,メインビジュアルの大きなSVGテキスト,医療用ハイフ
MVSVGテキスト2,メインビジュアルの小さなSVGテキスト,人気クリニック{{RANK_COUNT}}選
ランキングバナー画像パス,ランキングセクションのバナー画像,./images/ranking_header_banner.webp
ランキング地域名テキスト,ランキングセクション上部の地域名に続くテキスト,で人気の医療用ハイフはここ！
Tipsタブ1タイトル,Tipsセクションの1つ目のタブ,部分痩せと効果
Tips1内容,Tips1の説明文,医療ハイフで<deco>部分痩せの夢が現実に！</deco>顔のフェイスライン、二の腕、お腹周りなど、ダイエットでは落ちにくい<deco>「気になる部分」だけを集中的にケア。</deco>数日間患部が赤くなる場合がありますがダウンタイムもほとんどなく、施術後すぐに日常生活に戻れます。約2〜3ヶ月で自然に脂肪が減少し、リバウンドしにくいのが特徴です。
Tips1画像パス,Tips1セクションの画像,./images/Tips1.webp
Tipsタブ2タイトル,Tipsセクションの2つ目のタブ,リスクと副作用
Tips2内容,Tips2の説明文,医療ハイフは<deco>メスを使わずにリフトアップ</deco>できる人気の施術です。<deco>ダウンタイムがほとんどなく</deco>、施術直後からメイクや日常生活が可能です。まれに赤みや腫れ、軽い痛みを感じることがありますが、多くは数日で落ち着きます。効果や副作用については事前に医師としっかり相談しましょう。
Tips2画像パス,Tips2セクションの画像,./images/Tips2.webp
Tipsタブ3タイトル,Tipsセクションの3つ目のタブ,今がおすすめ
Tips3内容,Tips3の説明文,夏本番になると予約が取りにくくなり、料金も高くなりがち。今なら<deco>夏直前キャンペーン</deco>でお得に始められて、予約もスムーズ！理想の体型で夏を迎えるなら今がラストチャンスです。
Tips3画像パス,Tips3セクションの画像,./images/Tips3.webp
比較表タイトル,比較表セクションの見出し,で人気の医療用ハイフ
比較表サブタイトル,比較表のサブタイトル,クリニックを<span class="accent-text">徹底比較</span>
詳細バナー画像パス,詳細セクションのバナー画像,./images/details_header_bannar3.webp
