parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
0,7,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,7,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,7,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
16,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
18,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,7,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,7,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,7,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,7,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,7,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,7,6,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,7,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,7,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
