parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
0,1,3,6,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
2,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
9,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
11,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
14,1,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
16,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
18,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,1,4,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
25,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
27,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
#ERROR!
30,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,1,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
#ERROR!
37,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,2,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
