parameter_no,dio_stores,tcb_stores,urara_stores,dsc_stores,lieto_stores,eminal_stores,sbc_stores
0,dio_001/dio_002/dio_003/dio_004/dio_006/dio_008/dio_009/dio_010/dio_011/dio_012/dio_013/dio_014/dio_015/dio_016/dio_017/dio_018/dio_019/dio_020/dio_021/dio_022,tcb_001/tcb_002/tcb_003/tcb_004/tcb_005/tcb_006/tcb_007/tcb_008/tcb_009/tcb_010/tcb_011/tcb_012/tcb_013/tcb_014/tcb_015/tcb_016/tcb_017/tcb_018/tcb_019/tcb_020/tcb_021/tcb_022/tcb_023/tcb_024/tcb_025/tcb_026/tcb_027/tcb_028/tcb_029/tcb_030/tcb_031/tcb_032/tcb_033/tcb_034/tcb_035/tcb_036/tcb_037/tcb_038/tcb_039/tcb_040/tcb_041/tcb_042/tcb_043/tcb_044/tcb_045/tcb_046/tcb_047/tcb_048/tcb_049/tcb_050/tcb_051/tcb_052/tcb_053/tcb_054/tcb_055/tcb_056/tcb_057/tcb_058/tcb_059/tcb_060/tcb_061/tcb_062/tcb_063/tcb_064/tcb_065/tcb_066/tcb_067/tcb_068/tcb_069/tcb_070/tcb_071/tcb_072/tcb_073/tcb_074/tcb_075/tcb_076/tcb_077/tcb_078/tcb_079/tcb_080/tcb_081/tcb_082/tcb_083/tcb_084/tcb_085/tcb_086/tcb_087/tcb_088/tcb_089/tcb_090/tcb_091/tcb_092/tcb_093/tcb_094/tcb_095/tcb_096/tcb_097/tcb_098/tcb_099/tcb_100/tcb_101/tcb_102/tcb_103/tcb_104/tcb_105,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063,sbc_001/sbc_002/sbc_003/sbc_004/sbc_005/sbc_006/sbc_007/sbc_008/sbc_009/sbc_010/sbc_011/sbc_012/sbc_013/sbc_014/sbc_015/sbc_016/sbc_017/sbc_018/sbc_019/sbc_020/sbc_021/sbc_022/sbc_023/sbc_024/sbc_025/sbc_026/sbc_027/sbc_028/sbc_029/sbc_030/sbc_031/sbc_032/sbc_033/sbc_034/sbc_035/sbc_036/sbc_037/sbc_038/sbc_039/sbc_040/sbc_041/sbc_042/sbc_043/sbc_044/sbc_045/sbc_046/sbc_047/sbc_048/sbc_049/sbc_050/sbc_051/sbc_052/sbc_053/sbc_054/sbc_055/sbc_056/sbc_057/sbc_058/sbc_059/sbc_060/sbc_061/sbc_062/sbc_063/sbc_064/sbc_065/sbc_066/sbc_067/sbc_068/sbc_069/sbc_070/sbc_071/sbc_072/sbc_073/sbc_074/sbc_075/sbc_076/sbc_077/sbc_078/sbc_079/sbc_080/sbc_081/sbc_082/sbc_083/sbc_084/sbc_085/sbc_086/sbc_087/sbc_088/sbc_089/sbc_090/sbc_091/sbc_092/sbc_093/sbc_094/sbc_095/sbc_096/sbc_097/sbc_098/sbc_099/sbc_100/sbc_101/sbc_102/sbc_103/sbc_104/sbc_105/sbc_106/sbc_107/sbc_108/sbc_109/sbc_110/sbc_111/sbc_112/sbc_113/sbc_114/sbc_115/sbc_116/sbc_117/sbc_118/sbc_119/sbc_120/sbc_121/sbc_122/sbc_123/sbc_124
1,dio_022,tcb_040/tcb_041/tcb_042,-,-,-,eminal_062/eminal_063,sbc_122/sbc_123/sbc_124
2,-,tcb_046,-,-,-,eminal_061,sbc_121
3,-,tcb_047,-,-,-,eminal_060,-
4,dio_021,tcb_043,-,-,-,eminal_059,sbc_118
5,-,tcb_049,-,-,-,eminal_058,sbc_120
6,-,tcb_048,-,-,-,-,sbc_119
7,-,tcb_044/tcb_045,-,-,-,eminal_057,sbc_115/sbc_116/sbc_117
8,-,tcb_031/tcb_032,-,-,-,eminal_056,sbc_112
9,-,tcb_030,-,-,-,eminal_055,sbc_114
10,-,tcb_038/tcb_039,-,-,-,eminal_054,sbc_113
11,dio_014,tcb_025/tcb_026/tcb_027/tcb_028/tcb_029,-,-,-,eminal_053,sbc_057/sbc_058/sbc_059/sbc_060/sbc_061/sbc_062/sbc_063/sbc_064
12,dio_011,tcb_033/tcb_034/tcb_035/tcb_036/tcb_037,-,-,-,eminal_051/eminal_052,sbc_065/sbc_066/sbc_067/sbc_068/sbc_069/sbc_070/sbc_071
13,dio_015/dio_016/dio_017/dio_018/dio_019/dio_020,tcb_001/tcb_002/tcb_003/tcb_004/tcb_005/tcb_006/tcb_007/tcb_008/tcb_009/tcb_010/tcb_011/tcb_012/tcb_013/tcb_014/tcb_015/tcb_016/tcb_017/tcb_018,urara_001/urara_002,dsc_001,lieto_003,eminal_041/eminal_042/eminal_043/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050,sbc_086/sbc_087/sbc_088/sbc_089/sbc_090/sbc_091/sbc_092/sbc_093/sbc_094/sbc_095/sbc_096/sbc_097/sbc_098/sbc_099/sbc_100/sbc_101/sbc_102/sbc_103/sbc_104/sbc_105/sbc_106/sbc_107/sbc_108/sbc_109/sbc_110/sbc_111
14,dio_012/dio_013,tcb_019/tcb_020/tcb_021/tcb_022/tcb_023/tcb_024,-,-,lieto_002,eminal_039/eminal_040,sbc_072/sbc_073/sbc_074/sbc_075/sbc_076/sbc_077/sbc_078/sbc_079/sbc_080/sbc_081/sbc_082/sbc_083/sbc_084/sbc_085
15,-,tcb_062,-,-,-,eminal_038,sbc_042/sbc_043
16,-,tcb_064,-,-,-,eminal_037,sbc_039
17,-,tcb_061,-,-,-,eminal_036,sbc_040
18,-,tcb_065,-,-,-,eminal_035,sbc_041
19,-,tcb_066,-,-,-,-,sbc_044
20,-,tcb_059/tcb_060,-,-,-,eminal_034,sbc_045
21,-,tcb_055,-,-,-,eminal_033,sbc_049
22,-,tcb_056/tcb_057/tcb_058,-,-,-,eminal_031/eminal_032,sbc_046/sbc_047/sbc_048
23,dio_009/dio_010,tcb_050/tcb_051/tcb_052/tcb_053/tcb_054,-,-,lieto_001,eminal_029/eminal_030,sbc_051/sbc_052/sbc_053/sbc_054/sbc_055/sbc_056
24,-,tcb_063,-,-,-,eminal_028,sbc_050
25,-,tcb_083,-,-,-,eminal_027,-
26,dio_008,tcb_077/tcb_078,-,-,-,eminal_026,sbc_027/sbc_028/sbc_029
27,dio_003/dio_004,tcb_067/tcb_068/tcb_069/tcb_070/tcb_071/tcb_072/tcb_073/tcb_074/tcb_075/tcb_076,-,-,-,eminal_023/eminal_024/eminal_025,sbc_030/sbc_031/sbc_032/sbc_033/sbc_034/sbc_035/sbc_036/sbc_037/sbc_038
28,dio_006,tcb_079/tcb_080,-,-,-,eminal_021/eminal_022,sbc_022/sbc_023/sbc_024/sbc_025
29,-,tcb_081,-,-,-,eminal_020,sbc_026
30,-,tcb_082,-,-,-,eminal_019,sbc_021
31,-,-,-,-,-,-,-
32,-,tcb_088,-,-,-,-,-
33,-,tcb_084/tcb_085,-,-,-,eminal_018,sbc_017/sbc_018
34,dio_002,tcb_086/tcb_087,-,-,-,eminal_017,sbc_019/sbc_020
35,-,tcb_089,-,-,-,eminal_016,sbc_016
36,-,tcb_093,-,-,-,eminal_015,-
37,-,tcb_090,-,-,-,eminal_014,sbc_015
38,-,tcb_091,-,-,-,eminal_013,sbc_013
39,-,tcb_092,-,-,-,eminal_012,sbc_014
40,dio_001,tcb_094/tcb_095/tcb_096/tcb_097/tcb_098,-,-,-,eminal_008/eminal_009/eminal_010/eminal_011,sbc_009/sbc_010/sbc_011/sbc_012
41,-,tcb_103,-,-,-,-,-
42,-,tcb_102,-,-,-,eminal_006/eminal_007,sbc_006
43,-,tcb_100,-,-,-,eminal_004,sbc_007
44,-,tcb_104,-,-,-,eminal_005,sbc_008
45,-,tcb_101,-,-,-,eminal_003,sbc_005
46,-,tcb_099,-,-,-,eminal_002,sbc_003/sbc_004
47,-,tcb_105,-,-,-,eminal_001,sbc_002
48,dio_017,tcb_005,-,-,lieto_003,eminal_044/eminal_045,sbc_101/sbc_102
49,dio_018,tcb_008/tcb_013,-,-,-,eminal_043,sbc_098/sbc_099
50,dio_015,tcb_009/tcb_010/tcb_016,-,dsc_001,-,eminal_047/eminal_048,sbc_108/sbc_109
51,dio_015,tcb_009,-,-,-,eminal_047/eminal_048,sbc_108/sbc_109
52,-,-,-,-,-,-,sbc_089
53,dio_020,tcb_006/tcb_007,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
54,-,tcb_017,-,-,-,-,sbc_092
55,-,tcb_016,-,-,-,-,sbc_107
56,dio_015,tcb_009/tcb_010,-,dsc_001,-,eminal_047/eminal_048,sbc_108/sbc_109
57,dio_016,tcb_001/tcb_002/tcb_003,urara_002,-,-,eminal_049/eminal_050,sbc_110/sbc_111
58,dio_019,tcb_014,-,-,-,eminal_042,sbc_087
59,-,-,-,-,-,-,-
60,-,tcb_012,-,-,-,eminal_041,sbc_090
61,-,tcb_002/tcb_004,-,-,lieto_003,eminal_044/eminal_045,sbc_101
62,dio_020,tcb_006/tcb_007,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
63,-,-,-,-,-,-,-
64,dio_018,tcb_008/tcb_013,-,-,-,eminal_043,sbc_098/sbc_099
65,-,-,-,dsc_001,-,eminal_047/eminal_048,-
66,dio_015,tcb_009/tcb_010,-,dsc_001,-,eminal_047/eminal_048,sbc_108/sbc_109
67,dio_020,tcb_006/tcb_007,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
68,-,-,-,-,-,-,-
69,dio_018,tcb_008/tcb_013,-,-,-,eminal_043,sbc_098/sbc_099
70,-,-,-,-,-,-,-
71,-,-,-,-,-,-,sbc_100
72,-,-,-,-,-,-,-
73,-,-,-,-,-,-,sbc_094
74,-,-,-,-,-,-,sbc_035
75,dio_003,tcb_068/tcb_072,-,-,-,eminal_024,sbc_034/sbc_037
76,-,tcb_075,-,-,-,-,-
77,dio_003,tcb_068/tcb_069/tcb_072,-,-,-,eminal_023/eminal_024,sbc_034/sbc_036/sbc_037
78,dio_003,tcb_068/tcb_072,-,-,-,eminal_024,sbc_034/sbc_037
79,dio_004,tcb_067/tcb_070/tcb_071,-,-,-,eminal_025,sbc_033/sbc_038
80,-,-,-,-,-,-,-
81,dio_009/dio_010,tcb_050/tcb_051,-,-,lieto_001,eminal_030,sbc_054/sbc_055/sbc_056
82,-,tcb_053,-,-,-,-,sbc_052
83,-,tcb_054,-,-,-,eminal_029,sbc_051
84,dio_009/dio_010,tcb_050/tcb_051/tcb_052,-,-,lieto_001,eminal_030,sbc_053/sbc_054/sbc_055/sbc_056
85,-,tcb_097,-,-,-,eminal_008,sbc_010
86,dio_001,tcb_094/tcb_096/tcb_098,-,-,-,eminal_010/eminal_011,sbc_011/sbc_012
87,dio_001,tcb_094/tcb_096/tcb_098,-,-,-,eminal_010/eminal_011,sbc_011/sbc_012
88,-,tcb_095,-,-,-,eminal_009,sbc_009/sbc_016
89,-,tcb_042,-,-,-,eminal_062,sbc_122
90,dio_022,tcb_040/tcb_041,-,-,-,eminal_063,sbc_123/sbc_124
91,-,-,-,-,-,-,-
92,dio_006,tcb_079,-,-,-,eminal_022,sbc_025
93,dio_006,tcb_079,-,-,-,eminal_022,sbc_025
94,-,-,-,-,-,-,sbc_022
95,-,tcb_080,-,-,-,eminal_021,sbc_023
96,-,tcb_024,-,-,-,-,sbc_077
97,dio_012,tcb_022,-,-,-,eminal_039,sbc_084/sbc_085/sbc_095
98,-,tcb_023,-,-,-,-,sbc_073/sbc_076
99,dio_015,tcb_010/tcb_018/tcb_022,-,-,-,eminal_048,sbc_085/sbc_088/sbc_096/sbc_097/sbc_109
100,-,tcb_018/tcb_022,-,-,-,-,sbc_085/sbc_096/sbc_097
101,dio_013,tcb_019/tcb_020,-,-,lieto_002,eminal_040,sbc_079/sbc_081/sbc_082
102,-,tcb_023,-,-,-,-,sbc_075/sbc_076
103,-,tcb_035/tcb_037,-,-,-,-,sbc_066/sbc_070/sbc_071
104,-,tcb_036,-,-,-,eminal_051,sbc_065/sbc_068
105,-,tcb_037,-,-,-,-,sbc_070
106,dio_014,tcb_025/tcb_026,-,-,-,eminal_053,sbc_061/sbc_063/sbc_064
107,dio_014,tcb_025/tcb_026,-,-,-,eminal_053,sbc_063/sbc_064
108,-,tcb_027,-,-,-,-,sbc_059/sbc_094
109,-,tcb_017/tcb_027/tcb_029/tcb_037,-,-,-,-,sbc_059/sbc_062/sbc_070/sbc_092/sbc_094
110,-,tcb_038/tcb_039,-,-,-,eminal_054,sbc_113
111,dio_008,tcb_077/tcb_078,-,-,-,eminal_026,sbc_027/sbc_028/sbc_029
112,-,tcb_091,-,-,-,eminal_013,sbc_013
113,-,-,-,-,-,-,-
114,-,tcb_061,-,-,-,eminal_036,sbc_040
115,-,tcb_032,-,-,-,-,-
116,-,tcb_031,-,-,-,eminal_056,sbc_112
117,-,tcb_047,-,-,-,eminal_060,-
118,-,-,-,-,-,-,-
119,-,tcb_085,-,-,-,-,sbc_018
120,-,tcb_090,-,-,-,eminal_014,sbc_015
121,-,-,-,-,-,-,-
122,-,tcb_058,-,-,-,-,-
123,-,tcb_057,-,-,-,eminal_031,sbc_046
124,-,tcb_058,-,-,-,-,-
125,-,tcb_088,-,-,-,-,-
126,-,tcb_030,-,-,-,eminal_055,sbc_114
127,-,-,-,-,-,-,-
128,-,-,-,-,-,eminal_006,-
129,-,tcb_060,-,-,-,-,-
130,-,-,-,-,-,-,-
131,-,-,-,-,-,-,sbc_043
132,-,tcb_045,-,-,-,eminal_057,sbc_116
133,-,tcb_063,-,-,-,eminal_028,sbc_050
134,-,-,-,-,-,-,-
135,-,tcb_063,-,-,-,eminal_028,sbc_050
136,dio_021,tcb_043,-,-,-,eminal_059,sbc_118
137,-,-,-,-,-,-,-
138,-,-,-,-,-,-,-
139,-,-,-,-,-,-,-
140,-,-,-,-,-,-,-
141,-,-,-,-,-,-,-
142,-,-,-,-,-,-,-
143,-,-,-,-,-,-,-
144,-,-,-,-,-,-,-
145,-,-,-,-,-,-,-
146,-,-,-,-,-,-,-
147,-,-,-,-,-,-,-
148,-,-,-,-,-,-,-
149,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-
151,-,-,-,-,-,-,-
152,-,-,-,-,-,-,-
153,-,-,-,-,-,-,-
154,-,-,-,-,-,-,-
155,-,-,-,-,-,-,-
156,-,-,-,-,-,-,-
157,-,-,-,-,-,-,-
158,-,-,-,-,-,-,-
159,-,-,-,-,-,-,-
160,-,-,-,-,-,-,-
161,-,-,-,-,-,-,-
162,-,-,-,-,-,-,-
163,-,-,-,-,-,-,-
164,-,-,-,-,-,-,-
165,-,-,-,-,-,-,-
166,-,-,-,-,-,-,-
167,-,-,-,-,-,-,-
168,-,-,-,-,-,-,-
169,-,-,-,-,-,-,-
170,-,-,-,-,-,-,-
171,-,-,-,-,-,-,-
172,-,-,-,-,-,-,-
173,-,-,-,-,-,-,-
174,-,-,-,-,-,-,-
175,-,-,-,-,-,-,-
176,-,-,-,-,-,-,-
177,-,-,-,-,-,-,-
178,-,-,-,-,-,-,-
179,-,-,-,-,-,-,-
180,-,-,-,-,-,-,-
181,-,-,-,-,-,-,-
182,-,-,-,-,-,-,-
183,-,-,-,-,-,-,-
184,-,-,-,-,-,-,-
185,-,-,-,-,-,-,-
186,-,-,-,-,-,-,-
187,-,-,-,-,-,-,-
188,-,-,-,-,-,-,-
189,-,-,-,-,-,-,-
190,-,-,-,-,-,-,-
191,-,-,-,-,-,-,-
192,-,-,-,-,-,-,-
193,-,-,-,-,-,-,-
194,-,-,-,-,-,-,-
195,-,-,-,-,-,-,-
196,-,-,-,-,-,-,-
197,-,-,-,-,-,-,-
198,-,-,-,-,-,-,-
199,-,-,-,-,-,-,-
200,-,-,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063,-
201,-,-,-,-,-,eminal_062/eminal_063,-
202,-,-,-,-,-,eminal_061,-
203,-,-,-,-,-,eminal_060,-
204,-,-,-,-,-,eminal_059,-
205,-,-,-,-,-,eminal_058,-
206,-,-,-,-,-,-,-
207,-,-,-,-,-,eminal_057,-
208,-,-,-,-,-,eminal_056,-
209,-,-,-,-,-,eminal_055,-
210,-,-,-,-,-,eminal_054,-
211,-,-,-,-,-,eminal_053,-
212,-,-,-,-,-,eminal_051/eminal_052,-
213,-,-,urara_001/urara_002,dsc_001,lieto_003,eminal_041/eminal_042/eminal_043/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050,-
214,-,-,-,-,lieto_002,eminal_039/eminal_040,-
215,-,-,-,-,-,eminal_038,-
216,-,-,-,-,-,eminal_037,-
217,-,-,-,-,-,eminal_036,-
218,-,-,-,-,-,eminal_035,-
219,-,-,-,-,-,-,-
220,-,-,-,-,-,eminal_034,-
221,-,-,-,-,-,eminal_033,-
222,-,-,-,-,-,eminal_031/eminal_032,-
223,-,-,-,-,lieto_001,eminal_029/eminal_030,-
224,-,-,-,-,-,eminal_028,-
225,-,-,-,-,-,eminal_027,-
226,-,-,-,-,-,eminal_026,-
227,-,-,-,-,-,eminal_023/eminal_024/eminal_025,-
228,-,-,-,-,-,eminal_021/eminal_022,-
229,-,-,-,-,-,eminal_020,-
230,-,-,-,-,-,eminal_019,-
231,-,-,-,-,-,-,-
232,-,-,-,-,-,-,-
233,-,-,-,-,-,eminal_018,-
234,-,-,-,-,-,eminal_017,-
235,-,-,-,-,-,eminal_016,-
236,-,-,-,-,-,eminal_015,-
237,-,-,-,-,-,eminal_014,-
238,-,-,-,-,-,eminal_013,-
239,-,-,-,-,-,eminal_012,-
240,-,-,-,-,-,eminal_008/eminal_009/eminal_010/eminal_011,-
241,-,-,-,-,-,-,-
242,-,-,-,-,-,eminal_006/eminal_007,-
243,-,-,-,-,-,eminal_004,-
244,-,-,-,-,-,eminal_005,-
245,-,-,-,-,-,eminal_003,-
246,-,-,-,-,-,eminal_002,-
247,-,-,-,-,-,eminal_001,-
248,-,-,-,-,lieto_003,eminal_044/eminal_045,sbc_101/sbc_102
249,-,-,-,-,-,eminal_043,sbc_098/sbc_099
250,-,-,-,-,-,-,-
251,-,-,-,-,-,eminal_047/eminal_048,sbc_108/sbc_109
252,-,-,-,-,-,-,sbc_089
253,-,-,urara_001,-,-,eminal_046,sbc_103/sbc_104/sbc_105/sbc_106
254,-,-,-,-,-,-,sbc_092
