parameter_no,region
000,全国
001,北海道
002,青森
003,岩手
004,宮城
005,秋田
006,山形
007,福島
008,茨城
009,栃木
010,群馬
011,埼玉
012,千葉
013,東京
014,神奈川
015,新潟
016,富山
017,石川
018,福井
019,山梨
020,長野
021,岐阜
022,静岡
023,愛知
024,三重
025,滋賀
026,京都
027,大阪
028,兵庫
029,奈良
030,和歌山
031,鳥取
032,島根
033,岡山
034,広島
035,山口
036,徳島
037,香川
038,愛媛
039,高知
040,福岡
041,佐賀
042,長崎
043,熊本
044,大分
045,宮崎
046,鹿児島
047,沖縄
048,池袋
049,上野
050,恵比寿
051,表参道
052,吉祥寺
053,銀座
054,北千住
055,五反田
056,渋谷
057,新宿
058,立川
059,八王子
060,町田
061,高田馬場
062,新橋
063,品川
064,秋葉原
065,目黒
066,原宿
067,有楽町
068,六本木
069,神田
070,国分寺
071,錦糸町
072,三鷹
073,赤羽
074,京橋
075,心斎橋
076,高槻
077,天王寺
078,難波
079,梅田
080,一宮
081,栄
082,豊田
083,豊橋
084,名古屋
085,久留米
086,天神
087,博多
088,北九州
089,旭川
090,札幌
091,室蘭
092,神戸
093,三宮
094,西宮
095,姫路
096,海老名
097,川崎
098,逗子
099,溝の口
100,武蔵小杉
101,横浜
102,藤沢
103,柏
104,船橋
105,松戸
106,浦和
107,大宮
108,川口
109,草加
110,高崎
111,河原町
112,松山
113,八戸
114,金沢
115,つくば
116,水戸
117,盛岡
118,別府
119,倉敷
120,高松
121,御殿場
122,沼津
123,浜松
124,三島
125,松江
126,宇都宮
127,米子
128,佐世保
129,松本
130,太田
131,長岡
132,郡山
133,鈴鹿
134,津市
135,四日市
136,仙台
137,延岡
138,都城
139,天童
140,-
141,-
142,-
143,-
144,-
145,-
146,-
147,-
148,-
149,-
150,-
151,-
152,-
153,-
154,-
155,-
156,-
157,-
158,-
159,-
160,-
161,-
162,-
163,-
164,-
165,-
166,-
167,-
168,-
169,-
170,-
171,-
172,-
173,-
174,-
175,-
176,-
177,-
178,-
179,-
180,-
181,-
182,-
183,-
184,-
185,-
186,-
187,-
188,-
189,-
190,-
191,-
192,-
193,-
194,-
195,-
196,-
197,-
198,-
199,-
200,全国
201,北海道
202,青森
203,岩手
204,宮城
205,秋田
206,山形
207,福島
208,茨城
209,栃木
210,群馬
211,埼玉
212,千葉
213,東京
214,神奈川
215,新潟
216,富山
217,石川
218,福井
219,山梨
220,長野
221,岐阜
222,静岡
223,愛知
224,三重
225,滋賀
226,京都
227,大阪
228,兵庫
229,奈良
230,和歌山
231,鳥取
232,島根
233,岡山
234,広島
235,山口
236,徳島
237,香川
238,愛媛
239,高知
240,福岡
241,佐賀
242,長崎
243,熊本
244,大分
245,宮崎
246,鹿児島
247,沖縄
248,池袋
249,上野
250,恵比寿
251,表参道
252,吉祥寺
253,銀座
254,北千住
255,五反田
256,渋谷
257,新宿
258,立川
259,八王子
260,町田
261,高田馬場
262,新橋
263,品川
264,秋葉原
265,目黒
266,原宿
267,有楽町
268,六本木
269,神田
270,国分寺
271,錦糸町
272,三鷹
273,赤羽
274,京橋
275,心斎橋
276,高槻
277,天王寺
278,難波
279,梅田
280,一宮
281,栄
282,豊田
283,豊橋
284,名古屋
285,久留米
286,天神
287,博多
288,北九州
289,旭川
290,札幌
291,室蘭
292,神戸
293,三宮
294,西宮
295,姫路
296,海老名
297,川崎
298,逗子
299,溝の口
300,武蔵小杉
301,横浜
302,藤沢
303,柏
304,船橋
305,松戸
306,浦和
307,大宮
308,川口
309,草加
310,高崎
311,河原町
312,松山
313,八戸
314,金沢
315,つくば
316,水戸
317,盛岡
318,別府
319,倉敷
320,高松
321,御殿場
322,沼津
323,浜松
324,三島
325,松江
326,宇都宮
327,米子
328,佐世保
329,松本
330,太田
331,長岡
332,郡山
333,鈴鹿
334,津市
335,四日市
336,仙台
337,延岡
338,都城
339,天童
340,-
341,-
342,-
343,-
344,-
345,-
346,-
347,-
348,-
349,-
350,-
351,-
352,-
353,-
354,-
355,-
356,-
357,-
358,-
359,-
360,-
361,-
362,-
363,-
364,-
365,-
366,-
367,-
368,-
369,-
370,-
371,-
372,-
373,-
374,-
375,-
376,-
377,-
378,-
379,-
380,-
381,-
382,-
383,-
384,-
385,-
386,-
387,-
388,-
389,-
390,-
391,-
392,-
393,-
394,-
395,-
396,-
397,-
398,-
399,-
