parameter_no,dio_stores,TCB_stores,urara_stores,dsc_stores,lieto_stores,eminal_stores
000,dio_001/dio_002/dio_003/dio_004/dio_006/dio_008/dio_009/dio_010/dio_011/dio_012/dio_013/dio_014/dio_015/dio_016/dio_017/dio_018/dio_019/dio_020/dio_021/dio_022,TCB_001/TCB_002/TCB_003/TCB_004/TCB_005/TCB_006/TCB_007/TCB_008/TCB_009/TCB_010/TCB_011/TCB_012/TCB_013/TCB_014/TCB_015/TCB_016/TCB_017/TCB_018/TCB_019/TCB_020/TCB_021/TCB_022/TCB_023/TCB_024/TCB_025/TCB_026/TCB_027/TCB_028/TCB_029/TCB_030/TCB_031/TCB_032/TCB_033/TCB_034/TCB_035/TCB_036/TCB_037/TCB_038/TCB_039/TCB_040/TCB_041/TCB_042/TCB_043/TCB_044/TCB_045/TCB_046/TCB_047/TCB_048/TCB_049/TCB_050/TCB_051/TCB_052/TCB_053/TCB_054/TCB_055/TCB_056/TCB_057/TCB_058/TCB_059/TCB_060/TCB_061/TCB_062/TCB_063/TCB_064/TCB_065/TCB_066/TCB_067/TCB_068/TCB_069/TCB_070/TCB_071/TCB_072/TCB_073/TCB_074/TCB_075/TCB_076/TCB_077/TCB_078/TCB_079/TCB_080/TCB_081/TCB_082/TCB_083/TCB_084/TCB_085/TCB_086/TCB_087/TCB_088/TCB_089/TCB_090/TCB_091/TCB_092/TCB_093/TCB_094/TCB_095/TCB_096/TCB_097/TCB_098/TCB_099/TCB_100/TCB_101/TCB_102/TCB_103/TCB_104/TCB_105,urara_001/urara_002,dsc_001,lieto_001/lieto_002/lieto_003,eminal_001/eminal_002/eminal_003/eminal_004/eminal_005/eminal_006/eminal_007/eminal_008/eminal_009/eminal_010/eminal_011/eminal_012/eminal_013/eminal_014/eminal_015/eminal_016/eminal_017/eminal_018/eminal_019/eminal_020/eminal_021/eminal_022/eminal_023/eminal_024/eminal_025/eminal_026/eminal_027/eminal_028/eminal_029/eminal_030/eminal_031/eminal_032/eminal_033/eminal_034/eminal_035/eminal_036/eminal_037/eminal_038/eminal_039/eminal_040/eminal_041/eminal_042/eminal_043/eminal_044/eminal_045/eminal_046/eminal_047/eminal_048/eminal_049/eminal_050/eminal_051/eminal_052/eminal_053/eminal_054/eminal_055/eminal_056/eminal_057/eminal_058/eminal_059/eminal_060/eminal_061/eminal_062/eminal_063
001,dio_022,TCB_040/TCB_041/TCB_042,-,-,-,eminal_062/eminal_063
002,-,TCB_046,-,-,-,eminal_061
003,-,TCB_047,-,-,-,eminal_060
004,dio_021,TCB_043,-,-,-,eminal_059
005,-,TCB_049,-,-,-,eminal_058
006,-,TCB_048,-,-,-,-
007,-,TCB_044/TCB_045,-,-,-,eminal_057
008,-,TCB_031/TCB_032,-,-,-,eminal_056
009,-,TCB_030,-,-,-,eminal_055
