parameter_no,omt_stores,inv_stores,kireil_stores,ws_stores,zenyum_stores,kireiline_stores
0,omt_001/omt_002/omt_003/omt_004/omt_005/omt_006/omt_007/omt_008,-,kireil_001/kireil_002/kireil_003/kireil_004/kireil_005/kireil_006/kireil_007/kireil_008/kireil_009/kireil_010/kireil_011/kireil_012/kireil_013/kireil_014/kireil_015/kireil_016/kireil_017/kireil_018/kireil_019/kireil_020/kireil_021/kireil_022/kireil_023/kireil_024/kireil_025/kireil_026/kireil_027/kireil_028/kireil_029/kireil_030/kireil_031/kireil_032/kireil_033/kireil_034/kireil_035/kireil_036/kireil_037/kireil_038/kireil_039/kireil_040/kireil_041/kireil_042/kireil_043/kireil_044/kireil_045/kireil_046/kireil_047/kireil_048/kireil_049/kireil_050/kireil_051/kireil_052/kireil_053/kireil_054/kireil_055/kireil_056/kireil_057/kireil_058/kireil_059/kireil_060/kireil_061/kireil_062/kireil_063/kireil_064/kireil_065/kireil_066/kireil_067/kireil_068/kireil_069/kireil_070/kireil_071/kireil_072/kireil_073/kireil_074/kireil_075/kireil_076/kireil_077/kireil_078/kireil_079/kireil_080/kireil_081/kireil_082/kireil_083/kireil_084/kireil_085/kireil_086/kireil_087/kireil_088/kireil_089/kireil_090/kireil_091/kireil_092/kireil_093/kireil_094/kireil_095/kireil_096/kireil_097/kireil_098/kireil_099/kireil_100/kireil_101/kireil_102/kireil_103/kireil_104/kireil_105/kireil_106/kireil_107,ws_001/ws_002/ws_003/ws_004/ws_005/ws_006/ws_007/ws_008/ws_009/ws_010/ws_011/ws_012/ws_013/ws_014/ws_015/ws_016/ws_017/ws_018/ws_019/ws_020/ws_021/ws_022/ws_023/ws_024/ws_025/ws_026/ws_027/ws_028/ws_029/ws_030/ws_031/ws_032/ws_033/ws_034/ws_035/ws_036/ws_037/ws_038/ws_039/ws_040/ws_041/ws_042/ws_043/ws_044/ws_045/ws_046/ws_047/ws_048/ws_049/ws_050/ws_051/ws_052/ws_053/ws_054/ws_055/ws_056/ws_057/ws_058/ws_059/ws_060/ws_061/ws_062/ws_063/ws_064/ws_065/ws_066/ws_067/ws_068/ws_069/ws_070/ws_071/ws_072/ws_073/ws_074/ws_076/ws_078/ws_079/ws_080/ws_081/ws_082/ws_083/ws_084/ws_085/ws_086/ws_087/ws_088/ws_089/ws_090/ws_091/ws_092/ws_093/ws_094/ws_095/ws_096/ws_097/ws_098/ws_099/ws_100/ws_101/ws_102/ws_103/ws_104/ws_105/ws_106/ws_107/ws_108/ws_109/ws_110/ws_111/ws_112/ws_113/ws_114/ws_115/ws_116/ws_117/ws_118/ws_119/ws_120/ws_121/ws_122/ws_123,zenyum_001/zenyum_002/zenyum_003/zenyum_004/zenyum_005/zenyum_006/zenyum_007/zenyum_008/zenyum_009/zenyum_010/zenyum_011/zenyum_012/zenyum_013/zenyum_014,-
1,-,-,kireil_022,ws_119/ws_120/ws_121,zenyum_014,-
2,-,-,-,-,-,-
3,-,-,-,-,-,-
4,-,-,kireil_024/kireil_025/kireil_026/kireil_027,ws_117,zenyum_009,-
5,-,-,-,-,-,-
6,-,-,-,ws_118,-,-
7,-,-,kireil_028/kireil_029/kireil_030/kireil_031,ws_116,-,-
8,-,-,kireil_032/kireil_033,-,-,-
9,-,-,-,ws_049,zenyum_011,-
